connect,grade
1,Kindergarten
2,1st Grade
3,2nd Grade
4,3rd Grade
5,4th Grade
6,5th Grade
7,6th Grade
8,7th Grade
9,8th Grade
10,9th Grade
11,10th Grade
12,11th Grade
13,12th Grade
14,Elementary Level (multiple grade)
15,Middle Level (multiple grade)
16,Secondary Level (multiple grades)
